Freq,CDF
0.005,0.224251911136293
0.01,0.33478731351647
0.015,0.402618643188549
0.02,0.45032345417074
0.025,0.486292075557674
0.03,0.514008317657044
0.035,0.536862348968646
0.04,0.556142047632659
0.045,0.572712603875396
0.05,0.587173475463998
0.055,0.600220881441499
0.06,0.612146607601658
0.065,0.623032973238893
0.07,0.633044963549594
0.075,0.642454665464786
0.08,0.651221872508036
0.085,0.659527456055361
0.09,0.66758117144573
0.095,0.675184297014022
0.1,0.682353123315343
0.105,0.689294170684811
0.11,0.696052729176338
0.115,0.702564387552537
0.12,0.708919263777824
0.125,0.715140291718783
0.13,0.721204826348459
0.135,0.727096346040043
0.14,0.732908896976912
0.145,0.73855617387776
0.15,0.744042913712511
0.155,0.749378532653089
0.16,0.754605432357109
0.165,0.759734588730495
0.17,0.764772356245094
0.175,0.769685691647289
0.18,0.774543858680243
0.185,0.779331606611516
0.19,0.78399018546046
0.195,0.788573550469873
0.2,0.793106541847894
0.205,0.797520415762695
0.21,0.801911009203355
0.215,0.806292937455129
0.22,0.81053784018665
0.225,0.814797762578908
0.23,0.818958439674457
0.235,0.823053030262768
0.24,0.827084827115617
0.245,0.831107958779581
0.25,0.83510856095244
0.255,0.839036144466953
0.26,0.842974646119463
0.265,0.846834005713479
0.27,0.850598683676933
0.275,0.854371911293422
0.28,0.858122378347102
0.285,0.861867646287452
0.29,0.865525626891755
0.295,0.869119022954894
0.3,0.872754647371871
0.305,0.876367222386411
0.31,0.879966337474215
0.315,0.88351617652122
0.32,0.887055906181191
0.325,0.890583273505018
0.33,0.894018500987023
0.335,0.897410055917042
0.34,0.900805307994318
0.345,0.904165090565088
0.35,0.907492811936979
0.355,0.910883269276406
0.36,0.914242994079249
0.365,0.917468235150581
0.37,0.920743214406119
0.375,0.924025472420321
0.38,0.92727572700357
0.385,0.930496635480459
0.39,0.933708358857128
0.395,0.936922566254612
0.4,0.94018836040993
0.405,0.943372932861423
0.41,0.946549186731585
0.415,0.949758426087441
0.42,0.952963679456408
0.425,0.956134560909461
0.43,0.959216075381135
0.435,0.962383432990708
0.44,0.965535077724433
0.445,0.968637561953212
0.45,0.971743801097175
0.455,0.974857954446986
0.46,0.978013354095896
0.465,0.981121152973858
0.47,0.984188918679166
0.475,0.987338945910966
0.48,0.990529699530531
0.485,0.993689547309736
0.49,0.996833277837612
0.495,1
